Time,Account,Account Balance,Net Change,Unrealized P/L,Total Cash Balance,Gross Realized P/L,Buying Power,Cash Value,Commission,Fee
07/04/2024 11:52:41,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 11:54:37,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 11:54:37,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 11:54:37,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:04:07,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:04:07,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:04:07,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:09:01,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:09:01,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:09:01,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:09:32,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:09:32,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:09:32,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:10:10,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:10:10,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:10:10,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:10:47,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:10:47,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:10:47,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:15:01,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:15:01,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:15:01,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:17:13,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:17:13,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:17:13,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:29:59,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:29:59,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:29:59,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:31:38,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:31:38,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:31:38,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:36:24,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:36:24,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:36:24,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 12:40:03,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 12:40:03,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 12:40:03,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 13:18:54,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 13:18:54,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 13:18:54,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 13:25:03,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 13:25:03,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 13:25:03,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 13:36:45,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 13:36:45,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 13:36:45,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 13:43:25,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 13:43:25,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 13:43:25,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 13:51:01,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 13:51:01,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 13:51:01,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 13:52:02,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 13:52:02,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 13:52:02,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
07/04/2024 13:54:03,Sim101,51023.2200000014,0,0,0,0,0,51023.2200000014,0,0
07/04/2024 13:54:03,1223849,25,0,0,0,0,0,25,0,0
07/04/2024 13:54:03,APEX-198984-03,100000,0,0,0,0,0,100000,0,0
